run_id,val_bpb,improved,best_val_bpb,rotation_angle,binary_string,norm_type,attention_type,mlp_type,value_embeddings,qk_norm,rope_base
1,1.10243036,1,1.10243036,0.06250000,001010,0,0,1,0,1,0
2,1.08955866,1,1.08955866,0.03185421,011111,0,1,1,1,1,1
3,1.09082564,0,1.08955866,0.00383727,001110,0,0,1,1,1,0
4,1.10967982,0,1.08955866,0.02373734,100011,1,0,0,0,1,1
5,1.09081292,0,1.08955866,0.00382384,001110,0,0,1,1,1,0
1,1.11176361,1,1.11176361,0.06250000,101100,1,0,1,1,0,0
2,1.10248925,1,1.10248925,0.02418666,111110,1,1,1,1,1,0
3,1.10325775,0,1.10248925,0.00330161,001010,0,0,1,0,1,0
4,1.09827201,1,1.09827201,0.01379796,010000,0,1,0,0,0,0
5,1.09214111,1,1.09214111,0.01783932,100110,1,0,0,1,1,0
6,1.08262439,1,1.08262439,0.02504178,010011,0,1,0,0,1,1
7,1.14149560,0,1.08262439,0.06000000,101000,1,0,1,0,0,0
8,1.10963805,0,1.08262439,0.03119481,110011,1,1,0,0,1,1
9,1.10984357,0,1.08262439,0.03141313,100010,1,0,0,0,1,0
10,1.10443641,0,1.08262439,0.02566946,011100,0,1,1,1,0,0
11,1.09098926,0,1.08262439,0.01138545,011110,0,1,1,1,1,0
12,1.07718799,1,1.07718799,0.01654945,010101,0,1,0,1,0,1
13,1.11110717,0,1.07718799,0.03871193,101101,1,0,1,1,0,1
14,1.09055621,0,1.07718799,0.01677184,110111,1,1,0,1,1,1
15,1.08803221,0,1.07718799,0.01407723,010010,0,1,0,0,1,0
16,1.07121469,1,1.07121469,0.01775412,000111,0,0,0,1,1,1
17,1.11326159,0,1.07121469,0.04763934,101011,1,0,1,0,1,1
18,1.07516150,0,1.07121469,0.00673708,000101,0,0,0,1,0,1
19,1.10253685,0,1.07121469,0.03612582,101110,1,0,1,1,1,0
20,1.07822820,0,1.07121469,0.01002933,010101,0,1,0,1,0,1
21,1.07716376,0,1.07121469,0.00888661,010110,0,1,0,1,1,0
22,1.08451114,0,1.07121469,0.01677437,000101,0,0,0,1,0,1
23,1.13985860,0,1.07121469,0.06000000,101001,1,0,1,0,0,1
24,1.08912963,0,1.07121469,0.02173254,110111,1,1,0,1,1,1
25,1.07950397,0,1.07121469,0.01139894,000100,0,0,0,1,0,0
26,1.14150554,0,1.07121469,0.06000000,101000,1,0,1,0,0,0
27,1.10426523,0,1.07121469,0.03798132,010000,0,1,0,0,0,0
28,1.10252207,0,1.07121469,0.03610996,011011,0,1,1,0,1,1
29,1.08071602,0,1.07121469,0.01270013,010101,0,1,0,1,0,1
30,1.10548670,0,1.07121469,0.03929264,011101,0,1,1,1,0,1
31,1.11522881,0,1.07121469,0.04975125,111011,1,1,1,0,1,1
32,1.09771557,0,1.07121469,0.03094996,010000,0,1,0,0,0,0
33,1.10202536,0,1.07121469,0.03557671,110100,1,1,0,1,0,0
34,1.08815258,0,1.07121469,0.02068363,010011,0,1,0,0,1,1
35,1.07301585,0,1.07121469,0.00443363,000110,0,0,0,1,1,0
36,1.09010260,0,1.07121469,0.02277706,001111,0,0,1,1,1,1
37,1.08978313,0,1.07121469,0.02243411,110111,1,1,0,1,1,1
38,1.08421297,0,1.07121469,0.01645427,010101,0,1,0,1,0,1
39,1.09255815,0,1.07121469,0.02541321,110110,1,1,0,1,1,0
40,1.11052368,0,1.07121469,0.04470007,100011,1,0,0,0,1,1
41,1.06992156,1,1.06992156,0.00777648,000111,0,0,0,1,1,1
42,1.11269678,0,1.06992156,0.04847674,101100,1,0,1,1,0,0
43,1.10503290,0,1.06992156,0.04023925,011100,0,1,1,1,0,0
44,1.07527225,0,1.06992156,0.00825117,010111,0,1,0,1,1,1
45,1.10499026,0,1.06992156,0.04019342,001101,0,0,1,1,0,1
46,1.08691824,0,1.06992156,0.02076880,000010,0,0,0,0,1,0
47,1.10486090,0,1.06992156,0.04005438,011100,0,1,1,1,0,0
48,1.10372347,0,1.06992156,0.03883182,001010,0,0,1,0,1,0
49,1.07773485,0,1.06992156,0.01089808,010100,0,1,0,1,0,0
50,1.10489790,0,1.06992156,0.04009415,100100,1,0,0,1,0,0
51,1.12826516,0,1.06992156,0.06000000,011000,0,1,1,0,0,0
52,1.09152031,0,1.06992156,0.02571531,110110,1,1,0,1,1,0
53,1.07697607,0,1.06992156,0.01008250,000101,0,0,0,1,0,1
54,1.06985283,1,1.06985283,0.00514774,000111,0,0,0,1,1,1
55,1.08535552,0,1.06985283,0.01916406,010011,0,1,0,0,1,1
56,1.09071220,0,1.06985283,0.02492203,110111,1,1,0,1,1,1
57,1.09780638,0,1.06985283,0.03254766,000001,0,0,0,0,0,1
58,1.11044278,0,1.06985283,0.04613072,110010,1,1,0,0,1,0
59,1.10245022,0,1.06985283,0.03753940,101111,1,0,1,1,1,1
60,1.07670010,0,1.06985283,0.00986023,000101,0,0,0,1,0,1
61,1.06792149,1,1.06792149,0.00915205,010111,0,1,0,1,1,1
62,1.10292084,0,1.06792149,0.04018933,100100,1,0,0,1,0,0
63,1.06965964,0,1.06792149,0.00437174,000111,0,0,0,1,1,1
64,1.07094025,0,1.06792149,0.00575077,010111,0,1,0,1,1,1
65,1.13024465,0,1.06792149,0.06000000,100000,1,0,0,0,0,0
66,1.10492798,0,1.06792149,0.04235074,001101,0,0,1,1,0,1
67,1.08990247,0,1.06792149,0.02617040,011111,0,1,1,1,1,1
68,1.08989282,0,1.06792149,0.02616001,011111,0,1,1,1,1,1
69,1.09090457,0,1.06792149,0.02724952,011110,0,1,1,1,1,0
70,1.10265860,0,1.06792149,0.03990694,011011,0,1,1,0,1,1
71,1.10323092,0,1.06792149,0.04052325,001010,0,0,1,0,1,0
72,1.12808294,0,1.06792149,0.06000000,001001,0,0,1,0,0,1
73,1.14149117,0,1.06792149,0.06000000,101000,1,0,1,0,0,0
74,1.10953732,0,1.06792149,0.04731434,110010,1,1,0,0,1,0
75,1.10253428,0,1.06792149,0.03977306,111110,1,1,1,1,1,0
76,1.10887476,0,1.06792149,0.04660086,100010,1,0,0,0,1,0
77,1.09333944,0,1.06792149,0.02987153,110110,1,1,0,1,1,0
78,1.08973233,0,1.06792149,0.02598718,001111,0,0,1,1,1,1
79,1.10334966,0,1.06792149,0.04065112,000000,0,0,0,0,0,0
80,1.10200048,0,1.06792149,0.03919823,101111,1,0,1,1,1,1
81,1.08968366,0,1.06792149,0.02593477,001111,0,0,1,1,1,1
82,1.08310275,0,1.06792149,0.01884806,000100,0,0,0,1,0,0
83,1.08968137,0,1.06792149,0.02593231,110111,1,1,0,1,1,1
84,1.10037872,0,1.06792149,0.03745183,010001,0,1,0,0,0,1
85,1.10930033,0,1.06792149,0.04705914,110011,1,1,0,0,1,1
86,1.08419334,0,1.06792149,0.02002247,010100,0,1,0,1,0,0
87,1.10171263,0,1.06792149,0.03888827,110101,1,1,0,1,0,1
88,1.08707894,0,1.06792149,0.02312985,010011,0,1,0,0,1,1
89,1.10465610,0,1.06792149,0.04205796,001100,0,0,1,1,0,0
90,1.10339402,0,1.06792149,0.04069888,100100,1,0,0,1,0,0
91,1.08475706,0,1.06792149,0.02062952,010011,0,1,0,0,1,1
92,1.07412106,0,1.06792149,0.00917605,000110,0,0,0,1,1,0
93,1.07625563,0,1.06792149,0.01147468,000101,0,0,0,1,0,1
94,1.10484281,0,1.06792149,0.04225902,011100,0,1,1,1,0,0
95,1.09242268,0,1.06792149,0.02888431,110110,1,1,0,1,1,0
96,1.09109107,0,1.06792149,0.02745035,001110,0,0,1,1,1,0
97,1.07178026,0,1.06792149,0.00665535,000111,0,0,0,1,1,1
98,1.07319296,0,1.06792149,0.00817662,010110,0,1,0,1,1,0
99,1.11129228,0,1.06792149,0.04920419,101101,1,0,1,1,0,1
